[,latitude,longitude,]
[,34.72886,-84.78081,]
[,33.17301,-84.91488,]
[,36.19416,-86.27425,]
[,35.68866,-85.75987,]
[,38.24675,-77.49518,]
[,31.7013,-90.39758,]
[,37.45824,-89.23093,]
[,41.08108,-82.96788,]
[,39.52613,-81.50143,]
[,31.46385,-88.25428,]
[,34.02772,-87.7626,]
[,32.16772,-94.78889,]
[,32.32706,-95.2315,]
[,39.39841,-81.67134,]
[,37.95426,-87.44284,]
[,42.80281,-73.92945,]
[,37.84266,-90.49634,]
[,41.47853,-93.67961,]
[,29.07426,-82.26382,]
[,35.37718,-97.53352,]
[,39.05068,-95.74323,]
[,39.00752945,-94.27271189,]
[,32.63526,-97.33395,]
[,27.52382,-81.49917,]
[,34.69198,-82.84128,]
[,33.55277,-83.20297,]
[,32.55919,-85.67496,]
[,38.21754,-90.38585,]
[,34.94684,-86.5701,]
[,31.14228,-90.45468,]
[,41.1176,-89.36964,]
[,27.29824,-81.35861,]
[,32.87004,-82.39543,]
[,31.3708,-84.15279,]
[,28.30397,-82.70329,]
[,33.84172,-95.51265,]
[,30.08718,-98.42041,]
[,30.74943,-86.14814,]
[,37.41023,-87.73344,]
[,37.87225,-86.29208,]
[,33.59348,-86.22925,]
[,34.78561,-86.95469,]
[,41.0715,-86.60349,]
[,43.82396,-76.02209,]
[,30.77628,-92.42632,]
[,34.36207,-97.9788,]
[,36.84204,-75.99273,]
[,34.29174,-99.7524,]
[,41.45255,-90.46161,]
[,34.90035,-94.10242,]
[,30.34937,-97.37147,]
[,41.11815,-112.04638,]
[,41.57106,-91.26422,]
[,33.18924,-101.37841,]
[,31.5632,-85.2522,]
[,32.5257,-92.63838,]
[,32.94401,-103.34998,]
[,39.69589,-92.03943,]
[,34.63181,-78.616,]
[,30.65042,-97.01253,]
[,41.76975,-78.02297,]
[,40.12312,-82.02168,]
[,42.10844,-85.97491,]
[,35.08059,-91.8819,]
[,30.89389,-102.88895,]
[,34.73965,-79.36037,]
[,29.65173,-95.06563,]
[,41.39043,-88.42356,]
[,32.41632,-97.22262,]
[,28.41355,-97.75444,]
[,33.49362,-112.29146,]
[,32.07441,-84.23258,]
[,37.82616,-85.46368,]
[,39.48661,-75.03453,]
[,36.21178,-86.31633,]
[,42.21031,-79.85025,]
[,42.931,-75.3802,]
[,36.21655,-80.50815,]
[,34.16881,-80.06281,]
[,31.22641,-85.4058,]
[,35.82528,-86.08566,]
[,38.81458,-82.72934,]
[,42.91705,-89.23264,]
[,36.9927,-91.97031,]
[,38.34775,-98.21498,]
[,34.97708,-91.50356,]
[,34.92081,-95.77181,]
[,38.66733,-88.50023,]
[,28.68439,-81.53061,]
[,33.57998,-112.28886,]
[,32.60523,-96.77837,]
[,27.22696,-98.14537,]
[,31.65065,-95.07282,]
[,38.88378,-94.83335,]
